,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
0,L05717,1959-E01,CORONA,1959 Jan 21,1959 Jan 21,1959 Jan 21,1959 Jan 21,,CORONA Early,,,,D,TECH,,,,,,,F,,,
1,L06146,1959-A141,Mercury LJ-1,1959 Aug 21,1959 Aug 21,1959 Aug 21,1959 Aug 21,,Mercury LJ,,,,C,SS,,,,,,,F,,,
2,L06227,1959-E02,P-1,1959 Sep 24,1959 Sep 24,1959 Sep 24,1959 Sep 24,,Able,,,,C,PLAN,,,,,,,F,,,
3,L08107,1961-A123,D-6,1961 May  9,1961 May  9,1961 May  9,1961 May 9,,Blue Scout D,,,,D,SCI,,,,,,,F,,,
4,L08851,1962-A50,Blue Scout,1962 Apr 12,1962 Apr 12,1962 Apr 12,1962 Apr 12,,Blue Scout D,,,,D,TECH,US,A/AC.105/INF.007,,,,,F,,,
5,L09185,1962-A108,X-15 3-A-11,1962 Jul 10,1962 Jul 10,1962 Jul 10,1962 Jul 10,,X-15,,,,C,SS,,,,,,,F,,,
6,L09189,1962-A109,X-15 3-A-12,1962 Jul 11,1962 Jul 11,1962 Jul 11,1962 Jul 11,,X-15,,,,C,SS,,,,,,,F,,,
7,L09199,1962-A112,X-15 3-A-13,1962 Jul 16,1962 Jul 16,1962 Jul 16,1962 Jul 16,,X-15,,,,C,SS,,,,,,,F,,,
8,L10523,1963-A109,Reentry 3,1963 Jul 20,1963 Jul 20,1963 Jul 20,1963 Jul 20,,Scout Reentry,,,,C,RV,,,,,,,F,,,
9,L10581,1963-A117,X-15-3 Flight 3-A-33,1963 Aug  6,1963 Aug  6,1963 Aug  6,1963 Aug  6,,X-15,,,,C,SS,,,,,,,F,,,
10,L10593,1963-A119,X-15-3 Flight 3-A-34,1963 Aug 13,1963 Aug 13,1963 Aug 13,1963 Aug 13,,X-15,,,,C,SS,,,,,,,F,,,
11,L10598,1963-A120,X-15-3 Flight 3-A-35,1963 Aug 15,1963 Aug 15,1963 Aug 15,1963 Aug 15,,X-15,,,,C,SS,,,,,,,F,,,
12,L14200,1965-A142,X-15-1 Flight 1-A-100,1965 Oct  8,1965 Oct  8,1965 Oct  8,1965 Oct  8,,X-15,,,,C,SS,,,,,,,F,,,
13,L15515,1966-E01,OGCh,1966 Mar 15,1966 Mar 15,1966 Mar 15,1966 Mar 15,,OGCh,,,,D,WEAPON,,,,,,,F,,,
14,L18743,1967-A134,X-15-3 Flight 3-A-96,1967 Oct 31,1967 Oct 31,1967 Oct 31,1967 Oct 31,,X-15,,,,C,SS,,,,,,,F,,,
15,L19988,1968-E01,L-1,1968 Jul 15,1968 Jul 15,1968 Jul 15,1968 Jul 15,,L-1,,,,C,SS,,,,,,,F,,,
16,L35134,1973-E01,Tselina-O,1973 Jun 26,1973 Jun 26,1973 Jun 26,1973 Jun 26,,Tselina-OM,,,,D,SIG,,,,,,,F,,,
17,L53907,1980-E01,Tselina-D,1980 Mar 18,1980 Mar 18,1980 Mar 18,1980 Mar 18,,Tselina-D,,,,D,SIG,,,,,,,F,,,
18,L77124,2016-E01,Amos 6,2016 Sep  1,2016 Sep  1,2016 Sep  1,2016 Sep  1,,Amos,,,,B,COM,,,,,,,F,,,
19,L80114,2019-E01,Nahid-1,2019 Aug 29,2019 Aug 29,2019 Aug 29,2019 Aug 29,,Iran,,,,C,COM,,,,,,,F,,,
20,L80519,1965-A245,Gemini VI-A,1965 Dec 12,1965 Dec 12,1965 Dec 12,1965 Dec 12 1454,,Gemini,,,,C,SS,,,,,,,F,,,
21,L80526,1984-A47,Discovery (STS 41-D),1984 Jun 26,1984 Jun 26,1984 Jun 26,1984 Jun 26 1243,,STS,,,,C,SS,,,,,,,F,,,
22,L80530,1985-A26,Challenger (STS 51-F),1985 Jul 12,1985 Jul 12,1985 Jul 12,1985 Jul 12 2030,,STS,,,,C,SS,,,,,,,F,,,
23,L80532,2020-A22,Spaceship Two,2020 Dec 12,2020 Dec 12,2020 Dec 12,2020 Dec 21 1616,,SS2,,,,C,SS,,,,,,,F,,,
24,L80543,1994-A08,Endeavour (STS-68),1994 Aug 18,1994 Aug 18,1994 Aug 18,1994 Aug 18 1053:58,,STS,,,,C,SS,,,,,,,F,,,
25,L80547,1993-A20,Columbia (STS-55),1993 Mar 22,1993 Mar 22,1993 Mar 22,1993 Mar 22 1450:57,,STS,,,,C,SS,,,,,,,F,,,
26,L80551,1993-A21,STS-51 RSLS Abort,1993 Aug 12,1993 Aug 12,1993 Aug 12,1993 Aug 12 1312:32,,STS,,,,C,SS,,,,,,,F,,,
